,x1,x2,y,ypred2
0,weird,crazy,1,0.0
1,crazy,weird,1,0.0
2,polite,civil,0,0.0
3,weird,freak,0,0.0
4,firm,persistent,1,0.0
5,beg,plead,1,1.0
6,weird,quirky,1,1.0
7,firm,unyielding,1,0.0
8,firm,headstrong,1,0.0
9,protest,disrupt,1,0.0
10,protest,demonstration,1,1.0
11,protest,riot,1,1.0
12,riot,protest,1,1.0
13,disrupt,protest,1,1.0
14,demonstration,protest,1,1.0
15,weird,wild,1,1.0
16,weird,liberated,1,1.0
17,weird,individualistic,1,1.0
18,liberated,weird,1,1.0
19,individualistic,weird,1,1.0
20,freak,weird,1,0.0
21,wild,weird,1,1.0
22,leader,murderer,1,1.0
23,tyrant,despot,0,0.0
24,dictator,autocrat,0,0.0
25,easygoing,relaxed,0,0.0
26,frugal,economical,0,0.0
27,weird,strange,0,0.0
28,conservative,rightwing,0,0.0
29,polite,respectful,0,0.0
30,easygoing,carefree,0,0.0
31,weird,strange,0,0.0
32,firm,obstinate,1,0.0
33,pigheaded,obstinate,1,1.0
34,obstinate,pigheaded,1,1.0
35,obstinate,firm,1,0.0
36,grab,rip,1,1.0
37,rip,grab,1,0.0
38,whimper,sob,1,0.0
39,snivel,sob,1,1.0
40,blubber,sob,1,1.0
41,sob,blubber,1,0.0
42,sob,whimper,1,0.0
43,sob,snivel,1,0.0
44,antiparallel,hardness,0,0.0
45,birefringent,discourse,0,0.0
46,bourgeoisie,horehound,0,0.0
47,cynical,fungal,0,0.0
48,algorithmically,downs,0,0.0
49,bract,introspection,0,0.0
50,appointees,lassitude,0,0.0
51,caecilian,stimulations,0,0.0
52,alloying,dictions,0,0.0
53,blasphemes,investigated,0,0.0
54,cluing,jackeroo,0,0.0
55,clumsiness,confers,0,0.0
56,ballads,chintzy,0,0.0
57,augmenter,vindicate,0,0.0
58,briefings,lin,0,0.0
59,breathed,whirlwind,0,0.0
60,betaken,metas,0,0.0
61,ancora,preferred,0,0.0
62,antigenic,sights,0,0.0
63,catapults,munificence,0,0.0
64,blusher,schmaltz,0,0.0
65,batwing,deb,0,0.0
66,amnesties,concessions,0,0.0
67,perfectionist,nitpicker,1,1.0
68,boles,furnisher,0,0.0
69,brookie,jornada,0,0.0
70,comprise,classy,0,0.0
71,cautioned,cystoscope,0,0.0
72,blubbed,cattlemen,0,0.0
73,overdo,elaborate,1,1.0
74,blond,cepa,0,0.0
75,décolleté,filthy,1,1.0
76,cramped,crowded,0,0.0
77,airplanes,headship,0,0.0
78,demonstration,disruption,1,0.0
79,gourmand,glutton,1,1.0
80,bibliography,damply,0,0.0
81,brainpower,scrutinizer,0,0.0
82,benders,twinship,0,0.0
83,cole,storming,0,0.0
84,arbiter,poppa,0,0.0
85,anthologized,abets,0,0.0
86,airplane,tantric,0,0.0
87,backwoodsmen,dix,0,0.0
88,liberated,freak,1,1.0
89,autochanger,trending,0,0.0
90,attentive,meddlesome,1,1.0
91,carless,nonpareil,0,0.0
92,communists,overawe,0,0.0
93,cerebration,lorries,0,0.0
94,andesite,karate,0,0.0
95,boers,psyllium,0,0.0
96,allegiant,haymaking,0,0.0
97,caulker,centralism,0,0.0
98,commodes,blowhard,0,0.0
99,aquanauts,feedwater,0,0.0
100,smack,probe,1,0.0
101,aggressor,postals,0,0.0
102,affirmed,gunrunner,0,0.0
103,clasps,schooltime,0,0.0
104,cheetahs,roominess,0,0.0
105,capsize,individualisation,0,0.0
106,bolls,obituaries,0,0.0
107,busier,stemware,0,0.0
108,chrysler,stratification,0,0.0
109,choreographer,whooped,0,0.0
110,wild,crowded,1,1.0
111,concertedly,vertiginous,0,0.0
112,cinematography,confiture,0,0.0
113,aphasic,cyclase,0,0.0
114,colossi,kinaesthetic,0,0.0
115,blockhole,cradling,0,0.0
116,eccentric,individualistic,1,1.0
117,billings,acceded,0,0.0
118,communiqu,splinted,0,0.0
119,boba,industrious,0,0.0
120,agitating,varietally,0,0.0
121,agonists,nubbins,0,0.0
122,arbitral,disheartens,0,0.0
123,bigg,simulator,0,0.0
124,cd,inches,0,0.0
125,chemises,responses,0,0.0
126,bush,lasts,0,0.0
127,appraisals,parsimonious,0,0.0
128,bygones,avocado,0,0.0
129,coagulant,senselessly,0,0.0
130,carbides,cuke,0,0.0
131,cern,shackling,0,0.0
132,bowings,disturb,0,0.0
133,capturer,methotrexate,0,0.0
134,broader,crawler,0,0.0
135,adorns,poser,0,0.0
136,approximating,epicurean,0,0.0
137,armhole,knickknacks,0,0.0
138,ameliorates,counterblast,0,0.0
139,anthill,indirects,0,0.0
140,ankle,bighearted,0,0.0
141,begrudgingly,resistant,0,0.0
142,anticipative,outfitting,0,0.0
143,bumpier,chino,0,0.0
144,aphorisms,overspill,0,0.0
145,arteriosclerosis,gifted,0,0.0
146,beguiling,contended,0,0.0
147,archfoe,diffracting,0,0.0
148,carob,fastnesses,0,0.0
149,amendments,semble,0,0.0
150,beams,fullbacks,0,0.0
151,codifying,sawmilling,0,0.0
152,ultraconservative,rightwing,1,1.0
153,chutneys,ejecting,0,0.0
154,apprises,rapporteur,0,0.0
155,bande,cousin,0,0.0
156,buyback,princesses,0,0.0
157,apparels,nucleus,0,0.0
158,anglaise,streptomycin,0,0.0
159,overeater,epicure,1,1.0
160,bookmaking,subordinate,0,0.0
161,cheated,complainant,0,0.0
162,casually,barley,0,0.0
163,altruistically,insureds,0,0.0
164,collar,soothe,0,0.0
165,atlatl,pantries,0,0.0
166,brawl,calzones,0,0.0
167,bulletproofing,outfit,0,0.0
168,averring,pyre,0,0.0
169,risqué,décolleté,1,1.0
170,aggravated,plonking,0,0.0
171,miserly,stingy,0,0.0
172,cheery,gabbai,0,0.0
173,christened,spayed,0,0.0
174,benchwarmer,concretizing,0,0.0
175,adz,ostrich,0,0.0
176,catered,barge,0,0.0
177,attended,abel,0,0.0
178,lively,cheerful,0,0.0
179,airline,fusillade,0,0.0
180,boule,pointman,0,0.0
181,clouting,shinned,0,0.0
182,chemin,catnip,0,0.0
183,annulus,corkage,0,0.0
184,bantam,clerks,0,0.0
185,advantaged,fictionalize,0,0.0
186,aspartate,fiddler,0,0.0
187,cycles,refers,0,0.0
188,awns,transform,0,0.0
189,cochairs,unpressured,0,0.0
190,appliances,repousse,0,0.0
191,arms,outbidding,0,0.0
192,agave,turnkey,0,0.0
193,comedowns,nodding,0,0.0
194,catalogs,hydrogeologist,0,0.0
195,bedouins,wingless,0,0.0
196,bitumens,candlepin,0,0.0
197,bores,menswear,0,0.0
198,chignons,punier,0,0.0
199,amine,serving,0,0.0
200,blastocyst,lovelier,0,0.0
201,amelia,tyranny,0,0.0
202,clos,gadget,0,0.0
203,charcuterie,obeyed,0,0.0
204,backed,slick,0,0.0
205,carabaos,debatable,0,0.0
206,bandsmen,strangest,0,0.0
