,x1,x2,y,ypred2
0,protest,disrupt,1,0.0
1,protest,demonstration,1,0.0
2,protest,riot,1,1.0
3,riot,protest,1,1.0
4,disrupt,protest,1,1.0
5,demonstration,protest,1,1.0
6,weird,wild,1,1.0
7,weird,liberated,1,1.0
8,weird,individualistic,1,1.0
9,liberated,weird,1,1.0
10,individualistic,weird,1,1.0
11,freak,weird,1,0.0
12,crazy,weird,1,0.0
13,wild,weird,1,1.0
14,coevolution,weird,0,0.0
15,adorn,domains,0,0.0
16,catchup,penitent,0,0.0
17,bamboozle,mulled,0,0.0
18,assertedly,tradeoffs,0,0.0
19,bumbles,prolapse,0,0.0
20,bachelor,streams,0,0.0
21,bloodily,unconceivable,0,0.0
22,btu,unfiled,0,0.0
23,cackles,vitals,0,0.0
24,chapped,wittering,0,0.0
25,clockface,unrefuted,0,0.0
26,coley,strongrooms,0,0.0
27,bachelor,streams,0,0.0
28,leader,murderer,1,1.0
29,tyrant,despot,0,0.0
30,dictator,autocrat,0,0.0
31,easygoing,relaxed,0,0.0
32,frugal,economical,0,0.0
33,weird,strange,0,0.0
34,firm,persistent,0,0.0
35,beg,plead,0,1.0
36,conservative,rightwing,0,1.0
37,polite,respectful,0,0.0
38,easygoing,carefree,0,1.0
39,weird,strange,0,0.0
40,weird,quirky,0,1.0
41,firm,unyielding,0,0.0
42,firm,headstrong,0,0.0
43,polite,civil,0,0.0
