,0,1,2,3,4,5,6,7,8,9,alpha
0,"('disciplinarian', 0.9922456741333008)","('strict_disciplinarian', 0.6796602010726929)","('taskmaster', 0.6571840047836304)","('stern_disciplinarian', 0.643402636051178)","('disciplinarians', 0.5884207487106323)","('nonsense_disciplinarian', 0.5745344758033752)","('martinet', 0.5710725784301758)","('Sister_Aloysius_Meryl_Streep', 0.5070365071296692)","('enforcer', 0.50046306848526)","('strong_willed', 0.49743765592575073)",0.1
0,"('disciplinarian', 0.937259316444397)","('strict_disciplinarian', 0.62900310754776)","('stern_disciplinarian', 0.61922287940979)","('taskmaster', 0.6142209768295288)","('martinet', 0.5745940208435059)","('disciplinarians', 0.5582016110420227)","('nonsense_disciplinarian', 0.5319619178771973)","('Sister_Aloysius_Meryl_Streep', 0.5197111368179321)","('enforcer', 0.4986465573310852)","('micromanager', 0.47629064321517944)",0.30000000000000004
0,"('disciplinarian', 0.8522946834564209)","('stern_disciplinarian', 0.5733136534690857)","('strict_disciplinarian', 0.5604054927825928)","('martinet', 0.5538418292999268)","('taskmaster', 0.5527092218399048)","('disciplinarians', 0.509727954864502)","('Sister_Aloysius_Meryl_Streep', 0.508928120136261)","('evil', 0.4922058880329132)","('enforcer', 0.4765363335609436)","('nonsense_disciplinarian', 0.4741738438606262)",0.5000000000000001
0,"('disciplinarian', 0.761702299118042)","('evil', 0.552244246006012)","('martinet', 0.5224195718765259)","('stern_disciplinarian', 0.5213304758071899)","('strict_disciplinarian', 0.49069827795028687)","('taskmaster', 0.488852858543396)","('Sister_Aloysius_Meryl_Streep', 0.48665404319763184)","('tyrannical', 0.46823811531066895)","('uber_villain', 0.4617805480957031)","('disciplinarians', 0.45741212368011475)",0.7000000000000001
0,"('disciplinarian', 0.678435206413269)","('evil', 0.5899730324745178)","('martinet', 0.48927420377731323)","('tyrannical', 0.47478416562080383)","('stern_disciplinarian', 0.47215938568115234)","('villainous', 0.46573489904403687)","('uber_villain', 0.4627355933189392)","('Sister_Aloysius_Meryl_Streep', 0.4612375497817993)","('necromancer', 0.45164763927459717)","('vengeful', 0.45152074098587036)",0.9000000000000001
0,"('evil', 0.6135063171386719)","('disciplinarian', 0.6066045165061951)","('tyrannical', 0.4751265048980713)","('villainous', 0.472464382648468)","('necromancer', 0.464904248714447)","('uber_villain', 0.4588334560394287)","('martinet', 0.4584793448448181)","('Dark_Lord_Voldemort', 0.45442628860473633)","('malevolent', 0.4536803364753723)","('demonic', 0.4515734910964966)",1.1000000000000003
0,"('evil', 0.6282715201377869)","('disciplinarian', 0.5461317300796509)","('villainous', 0.4748409390449524)","('necromancer', 0.47248026728630066)","('tyrannical', 0.4724445343017578)","('malevolent', 0.46526196599006653)","('Dark_Lord_Voldemort', 0.459347128868103)","('evil_doer', 0.45680779218673706)","('demonic', 0.455657035112381)","('uber_villain', 0.45290204882621765)",1.3000000000000003
0,"('evil', 0.6376179456710815)","('disciplinarian', 0.49552077054977417)","('necromancer', 0.4766824543476105)","('villainous', 0.4748678505420685)","('malevolent', 0.4727020561695099)","('tyrannical', 0.46842795610427856)","('Dark_Lord_Voldemort', 0.46147382259368896)","('evil_doer', 0.4603425860404968)","('demonic', 0.45712751150131226)","('demon_lord', 0.4490404427051544)",1.5000000000000004
0,"('evil', 0.6435696482658386)","('necromancer', 0.47886544466018677)","('malevolent', 0.477530300617218)","('villainous', 0.47365766763687134)","('tyrannical', 0.4639437794685364)","('evil_doer', 0.4620248079299927)","('Dark_Lord_Voldemort', 0.46200722455978394)","('demonic', 0.4571380615234375)","('disciplinarian', 0.45304766297340393)","('demon_lord', 0.4526648223400116)",1.7000000000000004
0,"('evil', 0.6473562121391296)","('malevolent', 0.48068028688430786)","('necromancer', 0.4798279404640198)","('villainous', 0.471826434135437)","('evil_doer', 0.46260327100753784)","('Dark_Lord_Voldemort', 0.4616367220878601)","('tyrannical', 0.4594252109527588)","('demonic', 0.45634421706199646)","('demon_lord', 0.4548640549182892)","('Ahriman', 0.45018309354782104)",1.9000000000000004
0,"('evil', 0.6497363448143005)","('malevolent', 0.4827309846878052)","('necromancer', 0.48004770278930664)","('villainous', 0.4697163701057434)","('evil_doer', 0.4625225067138672)","('Dark_Lord_Voldemort', 0.4607623815536499)","('demon_lord', 0.4561500549316406)","('demonic', 0.45512184500694275)","('tyrannical', 0.45507973432540894)","('Ahriman', 0.4533184766769409)",2.1000000000000005
