,0,1,2,3,4,5,6,7,8,9,alpha
0,"('liberated', 0.9923363924026489)","('liberate', 0.689570426940918)","('liberating', 0.6744347810745239)","('liberation', 0.6345120668411255)","('emancipated', 0.5381151437759399)","('conquered', 0.5360112190246582)","('subjugated', 0.52677321434021)","('Liberated', 0.5203644037246704)","('Belsen_concentration_camp', 0.5084624290466309)","('emancipate', 0.4989665746688843)",0.1
0,"('liberated', 0.9388306140899658)","('liberate', 0.6934790015220642)","('liberating', 0.6447478532791138)","('liberation', 0.6337964534759521)","('subjugated', 0.5499363541603088)","('emancipated', 0.5245006084442139)","('conquered', 0.5217009782791138)","('emancipate', 0.5179302096366882)","('tyrannized', 0.5173742771148682)","('Belsen_concentration_camp', 0.5163356065750122)",0.30000000000000004
0,"('liberated', 0.8572951555252075)","('liberate', 0.6694421768188477)","('liberation', 0.6082556247711182)","('liberating', 0.5946345925331116)","('subjugated', 0.5475935339927673)","('oppressors', 0.5238162279129028)","('tyrannized', 0.5233966708183289)","('tyranny', 0.5229063034057617)","('evil', 0.5164901614189148)","('emancipate', 0.5133477449417114)",0.5000000000000001
0,"('liberated', 0.770962119102478)","('liberate', 0.633438766002655)","('liberation', 0.5726094245910645)","('evil', 0.5713517665863037)","('liberating', 0.5398577451705933)","('subjugated', 0.5318700075149536)","('oppressors', 0.5285239219665527)","('tyranny', 0.521593451499939)","('tyrannized', 0.5149158239364624)","('subjugate', 0.5095594525337219)",0.7000000000000001
0,"('liberated', 0.6917511224746704)","('evil', 0.6052591800689697)","('liberate', 0.5955767631530762)","('liberation', 0.5359674692153931)","('oppressors', 0.5240108966827393)","('tyranny', 0.5124960541725159)","('subjugated', 0.5113837122917175)","('demon_lord', 0.5077240467071533)","('subjugate', 0.5062558650970459)","('Nekron', 0.5027015209197998)",0.9000000000000001
0,"('evil', 0.626050591468811)","('liberated', 0.6233473420143127)","('liberate', 0.5603853464126587)","('oppressors', 0.51554936170578)","('demon_lord', 0.5123039484024048)","('Nekron', 0.5061705708503723)","('liberation', 0.5022906064987183)","('tyranny', 0.5005611181259155)","('subjugate', 0.49890652298927307)","('unspeakable_evil', 0.49762994050979614)",1.1000000000000003
0,"('evil', 0.6388309001922607)","('liberated', 0.5656258463859558)","('liberate', 0.5292893052101135)","('demon_lord', 0.5129319429397583)","('Nekron', 0.5059561729431152)","('oppressors', 0.5058478116989136)","('unspeakable_evil', 0.5033107399940491)","('evil_machinations', 0.4977595806121826)","('subjugate', 0.49018150568008423)","('tyranny', 0.4882011413574219)",1.3000000000000003
0,"('evil', 0.6467064619064331)","('liberated', 0.5171850919723511)","('demon_lord', 0.5115228891372681)","('unspeakable_evil', 0.5059932470321655)","('Nekron', 0.503896951675415)","('liberate', 0.5023553371429443)","('evil_machinations', 0.49780189990997314)","('oppressors', 0.4961741268634796)","('Neo_Arcadia', 0.4871633052825928)","('malevolent', 0.48606377840042114)",1.5000000000000004
0,"('evil', 0.6515384912490845)","('demon_lord', 0.5091172456741333)","('unspeakable_evil', 0.5069371461868286)","('Nekron', 0.500980019569397)","('evil_machinations', 0.4966133236885071)","('malevolent', 0.4894371032714844)","('oppressors', 0.4870680570602417)","('Neo_Arcadia', 0.48639973998069763)","('Ahriman', 0.4857868254184723)","('wickedness', 0.4834653437137604)",1.7000000000000004
0,"('evil', 0.6544498801231384)","('unspeakable_evil', 0.5068724155426025)","('demon_lord', 0.506277322769165)","('Nekron', 0.4977306127548218)","('evil_machinations', 0.4948013424873352)","('malevolent', 0.4914119243621826)","('Ahriman', 0.48655813932418823)","('Neo_Arcadia', 0.48495638370513916)","('wickedness', 0.48247623443603516)","('oppressors', 0.478720486164093)",1.9000000000000004
0,"('evil', 0.6561294794082642)","('unspeakable_evil', 0.5062276721000671)","('demon_lord', 0.5033054351806641)","('Nekron', 0.4944252371788025)","('evil_machinations', 0.4927051067352295)","('malevolent', 0.49249595403671265)","('Ahriman', 0.48663830757141113)","('Neo_Arcadia', 0.48318082094192505)","('wickedness', 0.4810844957828522)","('Kirin_Tor', 0.47337761521339417)",2.1000000000000005
0,"('evil', 0.6570082902908325)","('unspeakable_evil', 0.5052579045295715)","('demon_lord', 0.5003621578216553)","('malevolent', 0.4930054545402527)","('Nekron', 0.49120616912841797)","('evil_machinations', 0.4905140697956085)","('Ahriman', 0.48630040884017944)","('Neo_Arcadia', 0.4812701344490051)","('wickedness', 0.47950148582458496)","('Kirin_Tor', 0.47123199701309204)",2.3000000000000007
0,"('evil', 0.6573612689971924)","('unspeakable_evil', 0.5041165947914124)","('demon_lord', 0.4975297451019287)","('malevolent', 0.4931415915489197)","('evil_machinations', 0.488333523273468)","('Nekron', 0.48814260959625244)","('Ahriman', 0.4857131242752075)","('Neo_Arcadia', 0.4793357849121094)","('wickedness', 0.47784948348999023)","('Kirin_Tor', 0.46910208463668823)",2.5000000000000004
0,"('evil', 0.6573668718338013)","('unspeakable_evil', 0.5028970241546631)","('demon_lord', 0.4948471486568451)","('malevolent', 0.493034303188324)","('evil_machinations', 0.48622018098831177)","('Nekron', 0.4852638840675354)","('Ahriman', 0.4849821627140045)","('Neo_Arcadia', 0.4774400293827057)","('wickedness', 0.47619909048080444)","('Kirin_Tor', 0.467041552066803)",2.7000000000000006
0,"('evil', 0.657143235206604)","('unspeakable_evil', 0.5016556978225708)","('malevolent', 0.49276912212371826)","('demon_lord', 0.4923292398452759)","('evil_machinations', 0.4842029809951782)","('Ahriman', 0.48417437076568604)","('Nekron', 0.4825778603553772)","('Neo_Arcadia', 0.4756161570549011)","('wickedness', 0.47459039092063904)","('Kirin_Tor', 0.4650772213935852)",2.900000000000001
0,"('evil', 0.6567693948745728)","('unspeakable_evil', 0.5004266500473022)","('malevolent', 0.4924028813838959)","('demon_lord', 0.4899776875972748)","('Ahriman', 0.48333221673965454)","('evil_machinations', 0.48229503631591797)","('Nekron', 0.4800807237625122)","('Neo_Arcadia', 0.4738808870315552)","('wickedness', 0.4730449318885803)","('Kirin_Tor', 0.46322086453437805)",3.1000000000000005
0,"('evil', 0.6562989950180054)","('unspeakable_evil', 0.4992302656173706)","('malevolent', 0.491973876953125)","('demon_lord', 0.487787127494812)","('Ahriman', 0.4824827313423157)","('evil_machinations', 0.4804997742176056)","('Nekron', 0.47776299715042114)","('Neo_Arcadia', 0.4722406268119812)","('wickedness', 0.4715733230113983)","('Kirin_Tor', 0.46147552132606506)",3.3000000000000007
0,"('evil', 0.6557687520980835)","('unspeakable_evil', 0.4980778694152832)","('malevolent', 0.4915080666542053)","('demon_lord', 0.48574861884117126)","('Ahriman', 0.48164302110671997)","('evil_machinations', 0.47881555557250977)","('Nekron', 0.47561269998550415)","('Neo_Arcadia', 0.4706963002681732)","('wickedness', 0.4701797664165497)","('necromancer', 0.4610827565193176)",3.500000000000001
