,0,1,2,3,4,5,6,7,8,9,alpha
0,"('leader', 0.9920799732208252)","('leadership', 0.5589262247085571)","('Leader', 0.5505585670471191)","('leaders', 0.5417376756668091)","('premier', 0.48826590180397034)","('president', 0.46175044775009155)","('parliamentarian', 0.4425310790538788)","('standard_bearer', 0.43651771545410156)","('leading', 0.43140316009521484)","('SIR_Menzies_Campbell', 0.4279301166534424)",0.1
0,"('leader', 0.9334614872932434)","('Leader', 0.5262864828109741)","('leadership', 0.5209661722183228)","('leaders', 0.5061805248260498)","('president', 0.4532199800014496)","('chieftain', 0.43760332465171814)","('premier', 0.4329662621021271)","('Sheikh_Fadlallah', 0.42825961112976074)","('Mufti_Salim_Lababidi', 0.42733442783355713)","(""zeer_BOO'_toh"", 0.4245412349700928)",0.30000000000000004
0,"('leader', 0.8392340540885925)","('Leader', 0.48076021671295166)","('leadership', 0.4638364911079407)","('leaders', 0.45181989669799805)","('Sheikh_Fadlallah', 0.43958964943885803)","('chieftain', 0.429336279630661)","('Abdul_Aziz_Rantissi', 0.42588794231414795)","('president', 0.424726277589798)","('wily_politician', 0.421541690826416)","('saber_rattler', 0.42074596881866455)",0.5000000000000001
0,"('leader', 0.7367006540298462)","('Sheikh_Fadlallah', 0.43491673469543457)","('V_Hugo_Weaving', 0.42931467294692993)","('Leader', 0.428852915763855)","('evil', 0.42615655064582825)","('betrayer', 0.4219598174095154)","('bloodthirsty_tyrant', 0.420016884803772)","('saber_rattler', 0.41940322518348694)","('Abdul_Aziz_Rantissi', 0.4173784852027893)","('Afghan_warlord', 0.41620850563049316)",0.7000000000000001
0,"('leader', 0.6419607400894165)","('evil', 0.4832915663719177)","('V_Hugo_Weaving', 0.44670307636260986)","('bloodthirsty_tyrant', 0.4339757561683655)","('betrayer', 0.4228939414024353)","('Sheikh_Fadlallah', 0.4227433502674103)","('Afghan_warlord', 0.41759514808654785)","('uber_villain', 0.41607916355133057)","('saber_rattler', 0.4101422429084778)","('tyrannical_ruler', 0.4094580113887787)",0.9000000000000001
0,"('leader', 0.5604883432388306)","('evil', 0.5220707058906555)","('V_Hugo_Weaving', 0.4549408555030823)","('bloodthirsty_tyrant', 0.4396921694278717)","('evil_machinations', 0.42745858430862427)","('tyrannical_ruler', 0.4226839244365692)","('uber_villain', 0.4188937246799469)","('betrayer', 0.41859132051467896)","('demon_lord', 0.41849586367607117)","('necromancer', 0.41829949617385864)",1.1000000000000003
0,"('evil', 0.5487344264984131)","('leader', 0.4923664331436157)","('V_Hugo_Weaving', 0.4580925703048706)","('bloodthirsty_tyrant', 0.440973699092865)","('evil_machinations', 0.4388066530227661)","('necromancer', 0.43223926424980164)","('demon_lord', 0.43092262744903564)","('tyrannical_ruler', 0.42999139428138733)","('wizard_Lord_Voldemort', 0.42030414938926697)","('uber_villain', 0.41804659366607666)",1.3000000000000003
0,"('evil', 0.5674616098403931)","('V_Hugo_Weaving', 0.45849794149398804)","('evil_machinations', 0.44583290815353394)","('necromancer', 0.4413612484931946)","('bloodthirsty_tyrant', 0.43996718525886536)","('demon_lord', 0.4388449192047119)","('leader', 0.43581050634384155)","('tyrannical_ruler', 0.4338379502296448)","('unspeakable_evil', 0.4264148473739624)","('evil_doer', 0.4257357120513916)",1.5000000000000004
0,"('evil', 0.5809264183044434)","('V_Hugo_Weaving', 0.45745694637298584)","('evil_machinations', 0.4501893222332001)","('necromancer', 0.44742751121520996)","('demon_lord', 0.4439474940299988)","('bloodthirsty_tyrant', 0.43783873319625854)","('unspeakable_evil', 0.4356827735900879)","('tyrannical_ruler', 0.43565624952316284)","('evil_doer', 0.4312018156051636)","('malevolent', 0.4289312958717346)",1.7000000000000004
0,"('evil', 0.5908317565917969)","('V_Hugo_Weaving', 0.4556865692138672)","('evil_machinations', 0.4528696537017822)","('necromancer', 0.451518714427948)","('demon_lord', 0.44725364446640015)","('unspeakable_evil', 0.4424290060997009)","('malevolent', 0.4368227422237396)","('tyrannical_ruler', 0.4362795948982239)","('bloodthirsty_tyrant', 0.4352138042449951)","('evil_doer', 0.4348321557044983)",1.9000000000000004
0,"('evil', 0.5982747673988342)","('evil_machinations', 0.45447975397109985)","('necromancer', 0.45430687069892883)","('V_Hugo_Weaving', 0.4535824954509735)","('demon_lord', 0.449393093585968)","('unspeakable_evil', 0.4474429488182068)","('malevolent', 0.4427991509437561)","('evil_doer', 0.43725913763046265)","('tyrannical_ruler', 0.4361976981163025)","('bloodthirsty_tyrant', 0.43242549896240234)",2.1000000000000005
0,"('evil', 0.6039757132530212)","('necromancer', 0.4562177360057831)","('evil_machinations', 0.4553956985473633)","('V_Hugo_Weaving', 0.4513629078865051)","('unspeakable_evil', 0.45124006271362305)","('demon_lord', 0.4507610499858856)","('malevolent', 0.44741353392601013)","('evil_doer', 0.43888169527053833)","('tyrannical_ruler', 0.43570274114608765)","('Ahriman', 0.43534013628959656)",2.3000000000000007
0,"('evil', 0.6084179878234863)","('necromancer', 0.4575270414352417)","('evil_machinations', 0.4558557868003845)","('unspeakable_evil', 0.45416420698165894)","('demon_lord', 0.4516105353832245)","('malevolent', 0.4510384202003479)","('V_Hugo_Weaving', 0.4491475224494934)","('evil_doer', 0.43995705246925354)","('Ahriman', 0.43860793113708496)","('tyrannical_ruler', 0.43497157096862793)",2.5000000000000004
0,"('evil', 0.6119328737258911)","('necromancer', 0.45841729640960693)","('unspeakable_evil', 0.4564497470855713)","('evil_machinations', 0.45601385831832886)","('malevolent', 0.45393049716949463)","('demon_lord', 0.45210689306259155)","('V_Hugo_Weaving', 0.44700008630752563)","('Ahriman', 0.4411982297897339)","('evil_doer', 0.440654456615448)","('tyrannical_ruler', 0.434112548828125)",2.7000000000000006
0,"('evil', 0.6147522926330566)","('necromancer', 0.4590111970901489)","('unspeakable_evil', 0.45825985074043274)","('malevolent', 0.45626986026763916)","('evil_machinations', 0.4559710621833801)","('demon_lord', 0.4523603320121765)","('V_Hugo_Weaving', 0.44495269656181335)","('Ahriman', 0.44327980279922485)","('evil_doer', 0.4410874843597412)","('tyrannical_ruler', 0.4331924617290497)",2.900000000000001
0,"('evil', 0.6170414686203003)","('unspeakable_evil', 0.4597102999687195)","('necromancer', 0.45939332246780396)","('malevolent', 0.458185613155365)","('evil_machinations', 0.4557949900627136)","('demon_lord', 0.45244544744491577)","('Ahriman', 0.4449731707572937)","('V_Hugo_Weaving', 0.4430195093154907)","('evil_doer', 0.4413338005542755)","('tyrannical_ruler', 0.43225282430648804)",3.1000000000000005
0,"('evil', 0.6189205646514893)","('unspeakable_evil', 0.46088457107543945)","('malevolent', 0.459771990776062)","('necromancer', 0.4596225321292877)","('evil_machinations', 0.45553112030029297)","('demon_lord', 0.45241352915763855)","('Ahriman', 0.44636592268943787)","('evil_doer', 0.4414471387863159)","('V_Hugo_Weaving', 0.44120416045188904)","('tyrannical_ruler', 0.43131911754608154)",3.3000000000000007
0,"('evil', 0.6204782724380493)","('unspeakable_evil', 0.4618441164493561)","('malevolent', 0.4610987901687622)","('necromancer', 0.45974063873291016)","('evil_machinations', 0.4552108645439148)","('demon_lord', 0.45230036973953247)","('Ahriman', 0.44752269983291626)","('evil_doer', 0.4414654076099396)","('V_Hugo_Weaving', 0.4395046830177307)","('tyrannical_ruler', 0.43040671944618225)",3.500000000000001
0,"('evil', 0.6217809915542603)","('unspeakable_evil', 0.4626346826553345)","('malevolent', 0.4622184634208679)","('necromancer', 0.4597775340080261)","('evil_machinations', 0.45485568046569824)","('demon_lord', 0.4521312117576599)","('Ahriman', 0.448492169380188)","('evil_doer', 0.44141560792922974)","('V_Hugo_Weaving', 0.43791621923446655)","('Nekron', 0.43048128485679626)",3.7000000000000006
0,"('evil', 0.622879147529602)","('unspeakable_evil', 0.4632906913757324)","('malevolent', 0.463171124458313)","('necromancer', 0.459755003452301)","('evil_machinations', 0.45448052883148193)","('demon_lord', 0.4519239366054535)","('Ahriman', 0.44931113719940186)","('evil_doer', 0.44131726026535034)","('V_Hugo_Weaving', 0.4364319443702698)","('Nekron', 0.4307492971420288)",3.900000000000001
0,"('evil', 0.6238116025924683)","('malevolent', 0.4639877676963806)","('unspeakable_evil', 0.4638387858867645)","('necromancer', 0.45968902111053467)","('evil_machinations', 0.45409584045410156)","('demon_lord', 0.45169150829315186)","('Ahriman', 0.4500080645084381)","('evil_doer', 0.4411843717098236)","('V_Hugo_Weaving', 0.43504488468170166)","('Nekron', 0.4309493601322174)",4.1000000000000005
0,"('evil', 0.6246086359024048)","('malevolent', 0.46469244360923767)","('unspeakable_evil', 0.4642992615699768)","('necromancer', 0.4595913887023926)","('evil_machinations', 0.4537087678909302)","('demon_lord', 0.4514431655406952)","('Ahriman', 0.45060503482818604)","('evil_doer', 0.44102743268013)","('V_Hugo_Weaving', 0.433747798204422)","('wickedness', 0.4312058389186859)",4.300000000000001
0,"('evil', 0.6252940893173218)","('malevolent', 0.4653043746948242)","('unspeakable_evil', 0.46468818187713623)","('necromancer', 0.4594709277153015)","('evil_machinations', 0.4533243775367737)","('demon_lord', 0.4511856138706207)","('Ahriman', 0.451119601726532)","('evil_doer', 0.44085410237312317)","('V_Hugo_Weaving', 0.4325336813926697)","('wickedness', 0.431647926568985)",4.500000000000001
0,"('evil', 0.6258866786956787)","('malevolent', 0.46583878993988037)","('unspeakable_evil', 0.46501821279525757)","('necromancer', 0.45933428406715393)","('evil_machinations', 0.45294615626335144)","('Ahriman', 0.45156556367874146)","('demon_lord', 0.45092374086380005)","('evil_doer', 0.4406700134277344)","('wickedness', 0.4320286512374878)","('V_Hugo_Weaving', 0.43139588832855225)",4.7
0,"('evil', 0.6264016032218933)","('malevolent', 0.46630796790122986)","('unspeakable_evil', 0.4652993977069855)","('necromancer', 0.4591863751411438)","('evil_machinations', 0.45257627964019775)","('Ahriman', 0.4519540071487427)","('demon_lord', 0.4506610631942749)","('evil_doer', 0.4404793977737427)","('wickedness', 0.4323579967021942)","('satan', 0.4314303398132324)",4.9
